,SQ,RQ,PQ
0,12.5,3.784792870283127,3.784792870283127
1,12.5,3.784792870283127,3.784792870283127
2,12.5,3.784792870283127,3.784792870283127
3,12.5,3.784792870283127,3.784792870283127
4,12.5,3.784792870283127,3.784792870283127
5,12.5,3.784685954451561,3.784685954451561
6,12.5,3.7846095860004425,3.7846095860004425
7,12.5,3.784632310271263,3.784632310271263
8,12.5,3.7846501916646957,3.7846501916646957
9,12.5,3.7844717502593994,3.7844717502593994
10,12.5,3.7845008075237274,3.7845008075237274
11,12.5,3.7845253944396973,3.7845253944396973
12,12.5,3.7844963371753693,3.7844963371753693
13,12.5,3.7844717502593994,3.7844717502593994
14,12.5,3.784407675266266,3.784407675266266
15,12.5,3.7843916565179825,3.7843916565179825
16,12.5,3.7843775004148483,3.7843775004148483
17,12.5,3.784400597214699,3.784400597214699
18,12.5,3.7844210863113403,3.7844210863113403
19,12.5,3.7844397127628326,3.7844397127628326
20,12.5,3.7844259291887283,3.7844259291887283
21,12.5,3.7844717502593994,3.7844717502593994
22,12.5,3.784457966685295,3.784457966685295
23,12.5,3.7844449281692505,3.7844449281692505
24,12.5,3.784407675266266,3.784407675266266
25,12.5,3.78439761698246,3.78439761698246
26,12.5,3.7843886762857437,3.7843886762857437
27,12.5,3.784402832388878,3.784402832388878
28,12.5,3.784438595175743,3.784438595175743
29,12.5,3.784386068582535,3.784386068582535
30,12.5,3.7843577563762665,3.7843577563762665
31,12.5,3.7843916565179825,3.7843916565179825
32,12.5,3.7844035774469376,3.7844035774469376
33,12.5,3.784415125846863,3.784415125846863
34,12.5,3.784407675266266,3.784407675266266
35,12.5,3.784435987472534,3.784435987472534
36,12.5,3.7844110280275345,3.7844110280275345
37,12.5,3.7844210863113403,3.7844210863113403
38,11.11111119389534,3.311675041913986,3.311675041913986
39,11.11111119389534,3.263285383582115,3.263285383582115
40,11.11111119389534,3.2182857394218445,3.2182857394218445
41,11.11111119389534,3.176353871822357,3.176353871822357
42,11.11111119389534,3.137187659740448,3.137187659740448
43,11.11111119389534,3.1005213037133217,3.1005213037133217
44,11.11111119389534,3.066145069897175,3.066145069897175
45,11.11111119389534,3.033820539712906,3.033820539712906
46,11.11111119389534,3.0033789575099945,3.0033789575099945
47,11.11111119389534,2.9746796935796738,2.9746796935796738
48,11.11111119389534,2.9475323855876923,2.9475323855876923
49,11.11111119389534,2.9218392446637154,2.9218392446637154
50,11.11111119389534,2.89748702198267,2.89748702198267
51,11.11111119389534,2.874373085796833,2.874373085796833
52,11.11111119389534,2.852405421435833,2.852405421435833
53,11.11111119389534,2.831501141190529,2.831501141190529
54,11.11111119389534,2.811591513454914,2.811591513454914
55,11.11111119389534,2.792586572468281,2.792586572468281
56,11.11111119389534,2.774467319250107,2.774467319250107
57,11.11111119389534,2.7571404352784157,2.7571404352784157
58,11.11111119389534,2.740541473031044,2.740541473031044
59,11.11111119389534,2.7246633544564247,2.7246633544564247
60,11.11111119389534,2.7094168588519096,2.7094168588519096
61,11.11111119389534,2.6947887614369392,2.6947887614369392
62,11.11111119389534,2.6807479560375214,2.6807479560375214
63,11.11111119389534,2.66726016998291,2.66726016998291
64,11.11111119389534,2.6542939245700836,2.6542939245700836
65,11.11111119389534,2.641824632883072,2.641824632883072
66,11.11111119389534,2.629809081554413,2.629809081554413
67,11.11111119389534,2.618216909468174,2.618216909468174
68,11.11111119389534,2.6070311665534973,2.6070311665534973
69,11.11111119389534,2.5962358340620995,2.5962358340620995
70,11.11111119389534,2.5858204811811447,2.5858204811811447
71,11.11111119389534,2.575761266052723,2.575761266052723
72,11.11111119389534,2.5660257786512375,2.5660257786512375
73,11.11111119389534,2.556621842086315,2.556621842086315
74,11.11111119389534,2.5475196540355682,2.5475196540355682
75,11.11111119389534,2.5387004017829895,2.5387004017829895
76,18.18181872367859,2.079564146697521,2.079564146697521
77,18.18181872367859,2.0817846059799194,2.0817846059799194
78,18.18181872367859,2.083783969283104,2.083783969283104
79,18.18181872367859,2.085576020181179,2.085576020181179
